choice_mode,pref_mode,tc,pref_tc,tt,pref_tt,tc_dif,tt_dif
Walking,Walking,0,0,5,5,0,0
Walking,"Rickshaw, Walking",0,20,5,5,20,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,35,35,15,15,0,0
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,35,35,5,5,0,0
Rickshaw,Rickshaw,35,20,5,5,-15,0
Bus,Bus,10,10,25,15,0,-10
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,5,5,0,0
Bus,"Rickshaw, Bus",10,20,15,15,10,0
Rickshaw,Rickshaw,35,35,15,15,0,0
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Ridesharing Bike,75,150,45,25,75,-20
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,75,35,15,15,-40,0
Bus,Bus,10,10,15,15,0,0
Rickshaw,Rickshaw,35,35,5,5,0,0
Rickshaw,Rickshaw,35,35,15,5,0,-10
Bus,Rickshaw,35,75,25,25,40,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,50,50,30,20,0,-10
Bus,Bus,10,10,15,20,0,5
Bus,CNG,10,25,30,15,15,-15
Rickshaw,Rickshaw,40,40,15,20,0,5
Walking,Rickshaw,0,20,5,5,20,0
CNG,CNG,30,30,20,20,0,0
Bus,Bus,10,10,15,10,0,-5
Walking,Rickshaw,0,20,15,10,20,-5
Rickshaw,Rickshaw,60,50,30,30,-10,0
Bus,"Bus, Leguna",10,10,20,20,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Leguna,Leguna,20,20,20,20,0,0
Rickshaw,Rickshaw,20,20,15,15,0,0
Rickshaw,Rickshaw,30,20,15,15,-10,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Bus,Rickshaw,10,20,20,15,10,-5
Bus,Bus,10,10,10,10,0,0
Rickshaw,Rickshaw,30,30,20,20,0,0
Rickshaw,Rickshaw,40,40,15,20,0,5
Bus,Rickshaw,10,30,30,15,20,-15
Rickshaw,Rickshaw,50,50,20,20,0,0
Bus,Bus,10,10,20,15,0,-5
Rickshaw,Rickshaw,40,40,15,15,0,0
Bus,Rickshaw,15,50,30,20,35,-10
Bus,Rickshaw,10,40,20,25,30,5
Walking,Walking,50,0,20,5,-50,-15
Bus,Bus,10,10,30,30,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Leguna,50,20,25,20,-30,-5
Walking,Rickshaw,0,20,10,10,20,0
Bus,"Bus, Leguna",15,10,25,20,-5,-5
Walking,Bus,0,5,5,2,5,-3
Bus,"Rickshaw, Bus",15,15,35,40,0,5
Rickshaw,Rickshaw,30,20,15,15,-10,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Walking,"Rickshaw, Bus",0,10,15,15,10,0
Walking,Rickshaw,0,10,5,3,10,-2
Walking,Rickshaw,0,30,20,15,30,-5
Rickshaw,Rickshaw,70,60,25,25,-10,0
Bus,Bus,10,10,25,20,0,-5
Bus,Bus,10,10,15,15,0,0
Bus,Bus,10,10,30,30,0,0
Bus,Rickshaw,10,60,25,30,50,5
Rickshaw,Rickshaw,50,50,25,20,0,-5
Rickshaw,Rickshaw,60,60,30,30,0,0
Walking,Rickshaw,0,20,3,5,20,2
Rickshaw,Leguna,40,10,20,10,-30,-10
Walking,Rickshaw,0,20,5,5,20,0
Bus,Bus,10,10,20,15,0,-5
Leguna,Leguna,15,15,15,15,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Walking,CNG,0,10,10,5,10,-5
Rickshaw,Rickshaw,20,20,5,5,0,0
Bus,Leguna,10,10,20,15,0,-5
Leguna,Leguna,15,15,20,20,0,0
Private Car,Private Car,40,40,20,20,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Rickshaw,Rickshaw,80,80,30,30,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Bus,Bus,10,10,15,15,0,0
Walking,Rickshaw,0,10,5,5,10,0
Walking,Rickshaw,0,10,5,3,10,-2
Rickshaw,Rickshaw,20,20,5,5,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Walking,Rickshaw,0,20,10,5,20,-5
Bus,Bus,10,10,20,20,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Walking,Bus,0,10,15,10,10,-5
Rickshaw,Rickshaw,70,60,45,45,-10,0
Bus,Bus,10,10,20,20,0,0
Walking,Rickshaw,0,0,5,5,0,0
Walking,Rickshaw,0,20,5,5,20,0
Walking,Rickshaw,0,10,10,5,10,-5
Walking,Rickshaw,0,30,20,15,30,-5
Bus,Bus,10,10,15,20,0,5
Bus,Bus,15,15,45,40,0,-5
Bus,Bus,10,10,30,30,0,0
Walking,Rickshaw,0,10,5,2,10,-3
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,15,15,0,0
Rickshaw,Rickshaw,50,40,20,20,-10,0
Walking,Rickshaw,0,30,20,15,30,-5
Bus,Rickshaw,10,60,25,40,50,15
Bus,Leguna,15,20,30,20,5,-10
Bus,Bus,10,10,25,30,0,5
Rickshaw,Rickshaw,20,20,5,5,0,0
Bus,Rickshaw,10,70,30,45,60,15
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Bus,Rickshaw,10,40,15,20,30,5
Leguna,Leguna,40,20,20,20,-20,0
Rickshaw,Rickshaw,30,30,10,10,0,0
"Leguna, Walking",Leguna,10,10,25,20,0,-5
Rickshaw,Rickshaw,50,50,20,20,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Walking,Rickshaw,0,50,25,20,50,-5
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
"Leguna, Walking",Rickshaw,10,50,20,25,40,5
Bus,Leguna,15,20,20,20,5,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Bus,Bus,10,10,20,20,0,0
Rickshaw,Rickshaw,40,40,25,20,0,-5
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Bus,Bus,10,10,20,20,0,0
Leguna,Rickshaw,20,40,25,20,20,-5
Bus,Bus,10,10,35,30,0,-5
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,50,50,20,25,0,5
Rickshaw,Rickshaw,20,20,5,5,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Walking,Walking,0,0,2,2,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,50,50,30,30,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Walking,Walking,0,0,15,15,0,0
Walking,Rickshaw,0,30,15,15,30,0
Walking,Walking,0,0,20,20,0,0
Bus,Bus,10,10,10,10,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,100,100,40,45,0,5
Rickshaw,Rickshaw,40,40,20,20,0,0
Bus,Bus,15,15,10,10,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Rickshaw,Rickshaw,30,30,20,20,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Rickshaw,Rickshaw,60,50,25,25,-10,0
Rickshaw,Rickshaw,30,30,20,20,0,0
"Leguna, Walking",Leguna,10,10,12,15,0,3
Rickshaw,Rickshaw,30,30,20,20,0,0
Bus,Bus,10,10,15,20,0,5
Rickshaw,Rickshaw,30,30,20,20,0,0
Rickshaw,Rickshaw,40,40,25,20,0,-5
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Walking,Walking,0,0,15,15,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Bus,Bus,10,10,15,15,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Bus,Bus,15,15,20,25,0,5
Rickshaw,Rickshaw,50,50,20,20,0,0
Walking,Walking,0,0,10,10,0,0
Walking,Walking,0,0,5,5,0,0
Bus,Bus,10,10,10,10,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Rickshaw,Rickshaw,60,60,25,20,0,-5
Rickshaw,Rickshaw,40,40,20,20,0,0
Bus,Bus,15,15,35,40,0,5
Walking,Walking,0,0,2,2,0,0
Bus,Bus,15,15,25,30,0,5
Bus,Bus,20,20,40,40,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Bus,Rickshaw,10,70,15,25,60,10
Walking,Rickshaw,0,30,20,10,30,-10
Rickshaw,Rickshaw,30,30,20,20,0,0
Walking,Walking,0,0,20,20,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Walking,Rickshaw,0,30,15,8,30,-7
Bus,Bus,10,10,10,10,0,0
Walking,Walking,0,0,7,8,0,1
Rickshaw,Rickshaw,30,30,20,20,0,0
Rickshaw,Rickshaw,50,50,25,25,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Walking,Walking,0,0,15,15,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Walking,Walking,0,0,10,10,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Rickshaw,Rickshaw,30,30,20,20,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Bus,Bus,10,10,20,20,0,0
Bus,Bus,10,10,25,25,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Bus,Bus,10,10,20,20,0,0
Leguna,Leguna,10,10,10,10,0,0
Bus,Bus,10,10,30,30,0,0
Bus,Rickshaw,15,15,20,20,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Rickshaw,Rickshaw,60,60,20,20,0,0
Rickshaw,Rickshaw,30,40,15,20,10,5
Rickshaw,Rickshaw,50,50,20,20,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Walking,Walking,0,0,10,10,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Bus,Rickshaw,10,10,20,20,0,0
Rickshaw,Rickshaw,60,60,25,20,0,-5
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Leguna,60,20,25,15,-40,-10
Bus,Bus,10,10,25,25,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Bus,Bus,10,10,20,20,0,0
Bus,Bus,10,10,20,20,0,0
Bus,Bus,10,10,20,20,0,0
Bus,Bus,10,10,25,20,0,-5
Rickshaw,Rickshaw,50,40,15,15,-10,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Bus,Rickshaw,10,30,15,12,20,-3
Rickshaw,Rickshaw,40,40,15,15,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Bus,Rickshaw,10,30,10,15,20,5
Rickshaw,Rickshaw,50,50,20,20,0,0
Walking,Walking,0,0,10,10,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Bus,Rickshaw,10,20,10,10,10,0
Rickshaw,Rickshaw,30,30,20,20,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,50,50,15,15,0,0
Bus,Bus,10,10,30,30,0,0
Bus,Bus,15,15,35,40,0,5
Rickshaw,Rickshaw,30,30,10,10,0,0
Bus,Bus,10,10,20,25,0,5
Walking,Walking,0,0,3,3,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Rickshaw,Rickshaw,50,50,25,25,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Bus,Rickshaw,10,10,10,10,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Walking,Rickshaw,0,0,5,5,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,20,60,60,20,40,-40
Bus,Bus,10,10,15,15,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Bus,Bus,10,10,20,25,0,5
Rickshaw,Rickshaw,20,20,5,5,0,0
Bus,Bus,10,10,12,10,0,-2
Rickshaw,Rickshaw,50,50,20,20,0,0
Bus,Bus,15,15,30,30,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,30,30,20,20,0,0
Bus,Bus,15,15,20,20,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Bus,Bus,10,10,15,15,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Bus,Bus,10,10,20,20,0,0
Rickshaw,Rickshaw,30,30,15,15,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,5,5,0,0
Bus,Bus,10,10,15,15,0,0
Walking,Walking,0,0,5,5,0,0
Bus,Bus,10,10,15,15,0,0
CNG,CNG,20,20,20,20,0,0
CNG,CNG,20,20,20,20,0,0
Bus,Bus,10,20,20,20,10,0
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,7,7,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Bus,Bus,10,10,20,20,0,0
Rickshaw,Rickshaw,50,50,15,15,0,0
Rickshaw,Rickshaw,50,50,15,15,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Walking,Walking,0,9,5,5,9,0
Walking,Walking,0,0,5,5,0,0
Bus,Bus,10,10,20,20,0,0
Rickshaw,Rickshaw,50,50,15,15,0,0
Bus,Bus,10,10,20,20,0,0
Rickshaw,Rickshaw,40,40,15,10,0,-5
Bus,Bus,10,10,20,20,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Walking,Walking,0,0,15,15,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,30,30,20,20,0,0
Walking,Bicycle,0,0,5,5,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Bus,Bus,10,10,15,15,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Walking,Rickshaw,0,30,20,10,30,-10
Bus,Bus,10,10,20,20,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Bus,Bus,10,10,15,15,0,0
Rickshaw,Rickshaw,40,40,12,10,0,-2
Bus,Bus,10,10,30,35,0,5
Rickshaw,Rickshaw,60,60,25,25,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Rickshaw,Rickshaw,60,60,20,20,0,0
Bus,Bus,15,15,20,20,0,0
Bus,Bus,10,10,15,15,0,0
Bus,Bus,10,10,20,20,0,0
Rickshaw,Rickshaw,20,20,10,10,0,0
Walking,Rickshaw,0,50,20,15,50,-5
Rickshaw,Rickshaw,40,40,20,20,0,0
Bus,Bus,10,10,15,15,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Walking,Walking,0,0,10,10,0,0
Rickshaw,Rickshaw,50,50,20,20,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Walking,Walking,0,0,5,5,0,0
Bus,Bus,10,10,25,25,0,0
Rickshaw,Rickshaw,50,50,15,15,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Walking,Walking,0,0,5,5,0,0
Bus,Bus,10,10,20,15,0,-5
Rickshaw,Rickshaw,30,30,15,15,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Walking,Walking,0,0,5,5,0,0
Walking,Rickshaw,0,0,5,5,0,0
"Leguna, Walking","Leguna, Walking",10,10,30,30,0,0
Bus,Bus,10,10,20,20,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,80,80,25,25,0,0
Bus,Bus,10,10,25,30,0,5
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,100,100,30,30,0,0
Walking,Walking,0,0,10,10,0,0
Rickshaw,Rickshaw,50,50,15,15,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Rickshaw,Rickshaw,30,40,20,20,10,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Bus,Rickshaw,10,70,35,20,60,-15
Rickshaw,Rickshaw,60,60,15,15,0,0
Bus,Bus,15,15,20,20,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Bus,Bus,10,10,20,25,0,5
Bus,Bus,15,15,20,20,0,0
Rickshaw,Rickshaw,40,40,20,20,0,0
Bus,"Bus, Walking",10,10,25,30,0,5
Bus,Bus,10,10,10,10,0,0
Bus,Bus,10,10,15,15,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Bus,Bus,15,15,25,25,0,0
Walking,Walking,0,0,20,20,0,0
Rickshaw,Rickshaw,60,60,20,20,0,0
Bus,Bus,15,15,30,40,0,10
Walking,Walking,0,0,10,10,0,0
Bus,Bus,10,10,15,15,0,0
Walking,Walking,0,0,15,15,0,0
Walking,Walking,0,0,15,15,0,0
Walking,Walking,0,0,15,15,0,0
Bus,Bus,10,10,10,12,0,2
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,5,5,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Walking,Walking,0,0,5,5,0,0
Walking,Walking,0,0,2,2,0,0
Walking,Walking,0,0,5,5,0,0
Bus,Bus,10,10,20,20,0,0
Bus,Bus,10,10,20,20,0,0
Walking,Walking,0,0,3,3,0,0
Rickshaw,Rickshaw,30,30,10,10,0,0
Bus,Bus,15,15,20,20,0,0
Rickshaw,Rickshaw,40,40,15,10,0,-5
Rickshaw,Rickshaw,40,40,20,20,0,0
Walking,Walking,0,0,10,10,0,0
Bus,Bus,10,10,12,15,0,3
Bus,Bus,10,10,15,15,0,0
Bus,Bus,10,10,20,20,0,0
Rickshaw,Rickshaw,50,50,15,15,0,0
Walking,Walking,0,0,5,5,0,0
Bus,Bus,10,10,20,20,0,0
Rickshaw,Rickshaw,40,40,15,15,0,0
Rickshaw,Rickshaw,60,60,20,20,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Bus,Bus,10,10,20,20,0,0
Bus,Bus,10,10,20,20,0,0
Bus,Bus,20,20,40,45,0,5
Walking,Walking,0,0,10,10,0,0
Rickshaw,Rickshaw,20,20,5,5,0,0
Bus,Bus,20,20,50,35,0,-15
Rickshaw,Rickshaw,30,30,20,20,0,0
